player_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,league,salary,season,season_end,season_start,team
abdulma02,,,,,,,,,,,,,,,,,,,,,,,,NBA,798500.0,2000-01,2001.0,2000.0,Vancouver Grizzlies
abdulta01,,,,,,,,,,,,,,,,,,,,,,,,NBA,4500000.0,2000-01,2001.0,2000.0,Denver Nuggets
abdulta01,,,,,,,,,,,,,,,,,,,,,,,,NBA,5062500.0,2001-02,2002.0,2001.0,Denver Nuggets
abdulta01,,,,,,,,,,,,,,,,,,,,,,,,NBA,5625000.0,2002-03,2003.0,2002.0,Dallas Mavericks
abdulta01,,,,,,,,,,,,,,,,,,,,,,,,NBA,6187500.0,2003-04,2004.0,2003.0,Dallas Mavericks
abdulta01,,,,,,,,,,,,,,,,,,,,,,,,NBA,6750000.0,2004-05,2005.0,2004.0,Dallas Mavericks
abdulta01,,,,,,,,,,,,,,,,,,,,,,,,NBA,3656250.0,2005-06,2006.0,2005.0,Dallas Mavericks
abdulta01,,,,,,,,,,,,,,,,,,,,,,,,NBA,1968750.0,2006-07,2007.0,2006.0,Dallas Mavericks
abdursh01,,,,,,,,,,,,,,,,,,,,,,,,NBA,10130000.0,2000-01,2001.0,2000.0,Vancouver Grizzlies
abdursh01,,,,,,,,,,,,,,,,,,,,,,,,NBA,11250000.0,2001-02,2002.0,2001.0,Atlanta Hawks
abdursh01,,,,,,,,,,,,,,,,,,,,,,,,NBA,12375000.0,2002-03,2003.0,2002.0,Atlanta Hawks
abdursh01,,,,,,,,,,,,,,,,,,,,,,,,NBA,13500000.0,2003-04,2004.0,2003.0,Atlanta Hawks
abdursh01,,,,,,,,,,,,,,,,,,,,,,,,NBA,14625000.0,2004-05,2005.0,2004.0,Portland Trail Blazers
abdursh01,,,,,,,,,,,,,,,,,,,,,,,,NBA,5000000.0,2005-06,2006.0,2005.0,Sacramento Kings
